,text,text_translate,voted_up,early_access
0,"Раз, два, три по почкам, раз, два, три по печени...","I don't really know what to do, so I just click on the signs and play with my hangover friend. If you feel like it and don't understand anything anyway, you can buy it ...",True,False
1,Затягивает прикольная игрушка если подзатенуца и розобраца воще улет рекомендую попробуйте,sweg 430 denk game 2 play with friends n headshot noobez,True,False
2,Super fun game easily put 20 hours in and wanting to put many more,TOP GAME BUYED EE FOR 100 GRIVEN BITCHES AND PLAYERS CAN'T JUST A TOP FOR THEIR MONEY 10Z 10,True,True
3,좀보이드 하쉴?,This is way more fun than I thought it would be. It's super entertaining<3,True,True
4,Nice game great story and amazing characters! Recommendation to all fans of the Neptunia series. Keep up the great work!,IS THE BEGINNING,True,False
5,Really good game,Awesome game :),True,False
6,oyun çok güzel gta 6 nın çıkmasını sabırsızlıkla bekliyorum fakat oyun çok pahalı ama ounu öneririm,game is really good especially when you're playing it with your friends... If you don't have friends just join a matchmaking discord like stone mountain... 10/10,True,False
7,made me nut multiple times,"a much funnier and less serious GTA like, I put it between GTA and Saint's Row.",True,False
8,Probably the best FPS game atm.,Legendary game),True,False
9,"XCOM: Enemy Unknown is a turn-based tactics developed by Firaxis and Published by 2K Games. A great game this is. XCOM: Enemy Unknown is about an alien invasion, well not really a full scale invasion, not yet, but it's an invasion. You are XCOM, an organization that responsible for any threat regarding to allien or anything that comes from outer space. It's quite addictive like Civilization games. XCOM: Enemy Unknown gameplay is so addictive, build up your base, train and promote your soldiers, research technology based on captured allien tech on the field, build interceptors to take down incoming UFO's, stopping alien assault and abduction of humans, assault alien UFO crash site, it never stops. Soldiers can be customized with armors, better rifles or shotguns, give them some laser weapons and they look like a Stormtroopers. There's also a time when your base will be attacked by the X-Rays, it's what they called the alien there since they don't really know what those aliens are, so many creatures. So much to do.  On the battlefield, the game use turn-based gameplay. Just remember if your soldiers died in the field, the're gone forever. Soldiers get wounded also need sometime to heal in the medbay. So you really need to look after your soldiers in the field, make a good decision and think about your strategy. XCOM: Enemy Unknown, for a strategy game, it has quite great graphics and effects, better detailed and all. Soldiers really look so cool, the guns are amazing, the particle effect is great, the alien is really look like an E.T. Performance are perfectly great, no issues whatsoever. If only modding is officially supported, nevertheless I recommend XCOM: Enemy Unknown. Rating 9/10","An absolute masterpiece of sound design. I haven’t played since   a game so acoustically developed! Hunting shadows in the forest with little else to go on but your bow and your ears is an extremely rewarding experience. They kinda crippled you visually with the black & white colour scheme (in which they occasionally use hints of red to nudge you along the way and which can be adapted to full colour if you so wish), but then they built a whole acoustic world for you to compensate for it. The game’s story is based loosely on the mystery of the Roanoke colony, so I believe the colour palette is supposed to be reminiscent of the engravings we have from that early period of colonisation, but I think the way it looks is also aimed at enhancing the acoustic experience the game set itself to provide. A fully coloured world would have distracted you from the acoustic design, as it would have given you more visual means to deal with its dangers, but with the world painted this way you must rely mainly on what you hear in order to survive in it. They striped the colour from the world only to give you the sounds to colour it with! And, believe me, your brain will gradually learn to detach itself from the scant visuals and pay more and more attention to the richer palette of what can be heard around you, with the world ultimately starting to make more sense as a body of sounds rather than colours. And that makes for a highly original and properly immersive experience. Sadly, though, even on the highest difficulty setting, the 'unseen' enemies don't quite do enough damage to really make the slow-paced stealth, 'based on hearing', approach a necessity. Also, relying mainly on what you hear, the game is kind of an ethereal, disembodied experience, and was criticised at the time for not having enough flesh on its long (black and) white bones. I think this suits the game just fine, though, because it is basically a ""ghost story"" and, since dealing with ghosts is mainly an 'auditory' kind of endeavour, using an unsubstantial, de-realised setting is a proper way of 'telling’ it. Fleshing it more would have shifted the game’s focus, I think, and would ultimately have turned it into a different kind of experience than what the developers had in mind.",True,False
10,Top,Fuck 10/10,True,False
11,"Лучшая прога как для стримов, так и для того, чтобы пофаниться, потроллить друзей и т.д Короче рекомендую)","Quite a good game, modeled after the well-known Minesweeper. Recommended for lovers of puzzles and puzzles, as well as for those who would like to enter the circle of those. For those who like to break their brains, it will be just a good rest from difficult tasks, and for beginners, it will not make you forget about puzzles forever :) The downside of the game is the static nature of the levels. Those. there is no generation of levels, there are only 30 specific puzzles that, when you play it again, will no longer be interesting. Although it may be a plus for someone - if you did not go through everything perfectly the first time, then by reloading the level you can quickly recreate the desired picture. The lack of difficult levels can also be attributed to the disadvantages. Pros of the game: pleasant sound; lightweight graphics that do not hurt the eyes; ACHIVKI !!! It's very easy to get the perfect game. Rating: 9 out of 10.",True,False
12,asdas,Nice game,True,False
13,"Lo recomiendo en una buena promo o regalado jeje.. hasta 80% de descuento siento que lo vale :D El juego me ha gustado, Los graficos no son buenos que digamos, parecen de la epoca de PlayStation, asi que estan bien . En cuanto a la prensentación del juego esta bastante bien, tiene un menu bueno y una presentacion inicial tambien buena, se agradece que desarrolladores independientes le quieran meter su estilo, a mi me ha parecido buena. Por otro lado el juego en base a enemigo hay una gran cantida de enemigos diferentes(El error es presentarlos casi todos en el capitulo uno, luego se pierde porque son repetitivos), uno que otro si te asusta de la manera que salen, pero eso si ninguno presenta un reto, ya que la inteligencia artificial es muy mala, creo que el desarrollaror quiso poner a los enemigos rapidos y que se muevamo como locos para que no les logres dar, pero eso hace que que por lo menos uno de cada raza se buguen jaja. Los enemigos son feos y no lo digo porque den miedo, si no porque parece que alguien dibujo un bosquejo de esos que hacemos en la parte trasera de cualquier libreta y asi tal cual lo anexo al juego jaja  El gran fallo que le encontre al juego es no poder ver tu estado de vida, es bastante frustante porque no sabes cuanto de vida tienes, tampoco te avisa si estas a punto de morir o se pone la pantalla roja, simplemente nada, entre tus disparos un monton de enemigos simplemente mueres.. Los controles son tipicos de  shoter más del espacial horror jajaj otros podria marcar que la falta de mapa sea otro problema pero a mi me parece bien, perderte un rato y dejar de ir de un punto A a uno B, tampoco es que tengas muchos caminos... En cuanto al sonido pues la voz inicial sera lo unico que escucharar por ratos y una tonada espacial y listo",LET'S LEAVE THE TOUGH INTO THE TOP! ____ 🐸🐸🐸🐸 ____ 🐸🐸🐸 ___ 🐸🐸🐸🐸🐸__🐸🐸🐸🐸 __🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸 🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸 🐸🐸⚪⚫⚫ ⚪🐸🐸🐸⚪⚫⚫⚪ 🐸⚪⚫⚫⚪⚫⚪🐸⚪⚫⚫⚪⚫⚪ 🐸⚪⚫⚪⚫⚫⚪🐸⚪⚫⚪⚫⚫⚪ 🐸🐸⚪⚫⚪⚪🐸🐸🐸⚪⚫⚪⚪ 🐸 🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸 🔴🔴🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸 🐸🔴🔴🐸🐸🐸🐸🐸🐸🐸🐸🐸 🐸🐸🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴 🐸🐸🐸🔴🔴🔴🔴🔴🔴🔴🔴🔴🔴 🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸 🐸🐸🐸🐸🐸🐸🐸🐸🐸🐸 🐸🐸🐸🐸🐸🐸🐸🐸🐸,True,False
